RESUMEN GENERAL - CAMPAÑAS DE META MAYO,,,,,,,"NOTA: No sumar el CPR , obtar por validación directa o división",,,,,
Línea / Zona,Alcance,Impresiones,Inversión $,Leads,CPR $,,,,,,,
Sinotruk Lima," 285,893 "," 1,024,660 ",2576.61,2018,1.28,,RESUMEN GENERAL - CAMPAÑAS DE META MAYO,,,,,
Sinotruk Norte," 260,457 "," 843,163 ",1756.04,914,1.92,,Línea (total),Alcance,Impresiones,Inversión $,Leads,CPR $
Maquinaria Lima," 117,303 ",372784,1189.74,751,1.58,,Sinotruk total," 497,696 "," 1,867,823 "," 4,332.65 ",2932, 1.48 
Maquinaria Norte," 214,457 ",438819,1019.65,447,2.28,,Maquinaria total,," 811,603 ",2209.39,1198, 1.84 
Repuestos," 15,788 ",35252,99.83,81,1.23,,Repuestos total," 15,788 "," 35,252 ", 99.83 ,81, 1.23 
TOTAL GENERAL," 893,898 "," 2,714,678 ",6641.87,4211,1.66,,TOTAL GENERAL," 513,484 "," 2,714,678 "," 6,641.87 ",4211, 1.58 
,,,,,,,,,,,,
CAMPAÑA CAMIONES LIMA - MAYO,,,,,,,,,,,,
Campaña,Alcance,Impresiones,Inversión $,Leads,CPR $,,,,,,,
Tractos," 75,754 "," 202,386 ",699.72,291,2.40,,,,,,,
Chasis," 59,417 "," 208,091 ",549.91,324,1.70,,,,,,,
Volquetes," 191,745 "," 557,450 ",1127.28,1288,0.88,,,,,,,
Chasis Grúa," 19,414 "," 56,733 ",199.7,115,1.74,,,,,,,
TOTAL," 285,893 "," 1,024,660 ",2576.61,2018,1.28,,,,,,,
,,,,,,,,,,,,
CAMPAÑA CAMIONES NORTE - MAYO,,,,,,,,,,,,
Campaña,Alcance,Impresiones,Inversión $,Leads,CPR $,,,,,,,
Tractos," 99,549 "," 234,026 ",599.89,213,2.82,,,,,,,
Chasis," 66,190 "," 184,148 ",406.21,142,2.86,,,,,,,
Volquetes," 167,965 "," 424,989 ",749.94,559,1.34,,,,,,,
TOTAL," 260,457 "," 843,163 ",1756.04,914,1.92,,,,,,,
,,,,,,,,,,,,
CAMPAÑA MAQUINARIA LIMA - MAYO,,,,,,,,,,,,
Campaña,Alcance,Impresiones,Inversión $,Leads,CPR $,,,,,,,
Minicargador," 36,036 "," 101,261 ",289.90,294,0.99,,,,,,,
Retroexcavadora," 65,462 "," 178,279 ",599.90,341,1.76,,,,,,,
Excavadora," 41,974 "," 93,244 ",299.94,116,2.59,,,,,,,
TOTAL," 117,303 "," 372,784 ",1189.74,751,1.58,,,,,,,
,,,,,,,,,,,,
CAMPAÑA MAQUINARIA NORTE - MAYO,,,,,,,,,,,,
Campaña,Alcance,Impresiones,Inversión $,Leads,CPR $,,,,,,,
Minicargador," 51,413 "," 100,125 ",229.83,146,1.57,,,,,,,
Retroexcavadora," 89,613 "," 187,925 ",489.87,191,2.56,,,,,,,
Excavadora," 73,431 "," 150,769 ",299.95,110,2.73,,,,,,,
TOTAL," 214,457 "," 438,819 ",1019.65,447,2.28,,,,,,,
,,,,,,,,,,,,
CAMPAÑA REPUESTOS - MAYO,,,,,,,,,,,,
Campaña,Alcance,Impresiones,Inversión $,Leads,CPR $,,,,,,,
Repuestos," 15,788 "," 35,252 ",99.83,81,1.23,,,,,,,
TOTAL," 15,788 "," 35,252 ",99.83,81,1.23,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
