Línea,Zona,Campaña,Alcance,Impresiones,Inversión_USD,Leads,CPR_USD
OTROS,-,Chasis,59417.0,208091.0,549.91,324.0,1.7
OTROS,-,Chasis,66190.0,184148.0,406.21,142.0,2.86
OTROS,-,Chasis Grúa,19414.0,56733.0,199.7,115.0,1.74
OTROS,-,Excavadora,41974.0,93244.0,299.94,116.0,2.59
OTROS,-,Excavadora,73431.0,150769.0,299.95,110.0,2.73
OTROS,-,Minicargador,36036.0,101261.0,289.9,294.0,0.99
OTROS,-,Minicargador,51413.0,100125.0,229.83,146.0,1.57
OTROS,-,Repuestos,15788.0,35252.0,99.83,81.0,1.23
OTROS,-,Retroexcavadora,65462.0,178279.0,599.9,341.0,1.76
OTROS,-,Retroexcavadora,89613.0,187925.0,489.87,191.0,2.56
OTROS,-,Tractos,75754.0,202386.0,699.72,291.0,2.4
OTROS,-,Tractos,99549.0,234026.0,599.89,213.0,2.82
OTROS,-,Volquetes,191745.0,557450.0,1127.28,1288.0,0.88
OTROS,-,Volquetes,167965.0,424989.0,749.94,559.0,1.34
